"id","address","city","state","zip","retailer_id","lat","long"
195500,"210 South Elizabeth St","Elizabeth","CO",80107,106,39.3585,-104.608
28958,"2100 Legacy Cir","Elizabeth","CO",80107,4,39.3594,-104.626
207975,"2100 Legacy Circle","Elizabeth","CO",80107,106,39.3597,-104.597
33241,"220 S. Elizabeth St.","Elizabeth","CO",80107,2,39.3602,-104.608
3531,"880 South Perry St.","Castle Rock","CO",80104,2,39.3626,-104.862
135341,"880 Kinner Street","Castle Rock","CO",80109,75,39.3643,-104.901
228312,"80 Plum Creek Pkwy","Castle Rock","CO",80104,115,39.3647,-104.862
37976,"355 S WILCOX ST","Castle Rock","CO",80104,5,39.366,-104.863
189558,"110 S Wilcox","Castle Rock","CO",80104,106,39.3681,-104.86
11,"133 Sam Walton Lane","Castle Rock","CO",80104,4,39.3722,-104.856
201709,"4714 Milestone La","Castle Rock","CO",80104,106,39.3722,-104.856
3469,"750 N Ridge Rd","Castle Rock","CO",80104,1,39.3756,-104.828
204233,"848 Ridge Road","Castle Rock","CO",80104,106,39.3763,-104.829
56472,"810 N WILCOX","CASTLE ROCK","CO",80104,28,39.3792,-104.86
208054,"2842 Front Street","Castle Rock","CO",80104,106,39.39,-104.858
198097,"2195 N Hwy 83","Franktown","CO",80116,106,39.3935,-104.755
161286,"3960 Limelight Ave","Castle Rock","CO",80109,85,39.4022,-104.88
161626,"3960 Limelight Ave","Castle Rock","CO",80109,86,39.4022,-104.88
203812,"4400 Front St","Castle Rock","CO",80104,106,39.4059,-104.861
157587,"4654 MILESTONE LN","CASTLE ROCK","CO",80104,82,39.4081,-104.862
583,"5010 Founders Pkwy","Castle Rock","CO",80108,3,39.4082,-104.857
227664,"312 Metzler Dr","Castle Rock","CO",80108,115,39.4091,-104.859
4138,"100 Founders Pkwy","Castle Rock","CO",80104,1,39.4112,-104.865
220003,"62 FOUNDERS PARKWAY","CASTLE ROCK","CO",80104,109,39.4117,-104.865
216913,"34 E Allen Street","Castle Rock","CO",80108,108,39.4118,-104.863
147656,"1360 NEW BEALE STREET","CASTLE ROCK","CO",80108,80,39.4119,-104.876
246541,"34 East Allen Street, #100","Castle Rock","CO",80108,137,39.4119,-104.862
208059,"5254 North Meadows Drive","Castle Rock","CO",80109,106,39.4121,-104.895
190290,"5050 Factory Shops Blvd","Castle Rock","CO",80108,106,39.413,-104.874
225535,"78 East Allen Street","Castle Rock","CO",80104,105,39.4135,-104.863
37697,"14 E ALLEN ST","Castle Rock","CO",80108,5,39.4136,-104.864
183904,"5642 Allen Way","Castle Rock","CO",80108,104,39.4136,-104.865
168000,"32 E. Allen Street","Castle Rock","CO",80108,97,39.4137,-104.863
148623,"800 New Memphis Court","Castle Rock","CO",80108,78,39.4141,-104.871
145114,"333 W Allen Street","Castle Rock","CO",80108,79,39.4142,-104.867
55341,"12285 S PARKER RD","PARKER","CO",80134,28,39.4351,-104.76
208057,"7007 E Bayou Gulch Rd","Parker","CO",80134,106,39.4363,-104.756
199077,"173 Bulldogger Rd","Bailey","CO",80421,106,39.4401,-105.45
163620,"OUTLETS AT CASTLEROCK 5050 FACTORY SHOPPES BL","CASTLE ROCK","CO",80104,93,39.4505,-104.869
254250,"5050 Factory Shops Blvd","Denver","CO",80108,157,39.4505,-104.869
55267,"19832 E HILLTOP RD","PARKER","CO",80134,28,39.4507,-104.681
5893,"7284 Lagae Rd","Castle Pines","CO",80108,1,39.4689,-104.882
38458,"7370 LAGAE RD","Castle Rock","CO",80108,5,39.469,-104.882
197121,"558 Castle Pines Parkway","Castle Rock","CO",80104,106,39.4719,-104.896
32503,"560 Castle Pines Pkwy","Castle Rock","CO",80108,2,39.4722,-104.875
38071,"13143 S PARKER RD","Parker","CO",80134,5,39.4777,-104.758
197313,"13097 S Parker Rd","Parker","CO",80134,106,39.4789,-104.759
22905,"12959 S Parker Rd","Parker","CO",80134,1,39.4797,-104.76
210722,"8357 North Rampart Range Road","Littleton","CO",80125,106,39.483,-105.073
30059,"8355 N. Rampart Range Road","Littleton","CO",80125,2,39.4846,-105.073
138922,"18811 Ponderosa Drive","Parker","CO",80134,75,39.4895,-104.845
208053,"22219 Hilltop Rd","Parker","CO",80138,106,39.4901,-104.728
192490,"9807 S Parker Rd","Parker","CO",80134,106,39.4996,-104.761
148774,"11481 S 20 Mile Rd","Parker","CO",80134,78,39.5102,-104.764
160838,"11267 Pikes Peak Dr","Parker,","CO",80138,84,39.5113,-104.762
225393,"11215 S. Parker Road","Parker","CO",80134,105,39.5115,-104.764
157501,"11183 A S PARKER RD","PARKER","CO",80134,82,39.5117,-104.765
167994,"11290 Twenty Mile Drive","Parker","CO",80134,97,39.5118,-104.77
805,"11150 S Twenty Mile Rd","Parker","CO",80134,3,39.5125,-104.772
202927,"11101 S Parker Rd","Parker","CO",80134,106,39.5132,-104.768
355,"11101 S Parker Rd","Parker","CO",80134,4,39.5133,-104.768
145101,"11111 South Parker Road","Parker","CO",80134,79,39.5144,-104.764
193461,"11017 S Parker Rd","Parker","CO",80134,106,39.5158,-104.764
2469,"11051 So. Parker Rd.","Parker","CO",80134,2,39.5162,-104.765
183248,"18701 E. Main St.","Parker","CO",80134,104,39.5185,-104.771
220907,"11011 S. PARKER ROAD","PARKER","CO",80134,109,39.5192,-104.767
178224,"10853 U.S. Hwy 285","Conifer","CO",80433,100,39.5194,-105.306
161325,"18625 Stage Run Rd","Parker","CO",80134,85,39.5199,-104.772
161665,"18625 Stage Run Rd","Parker","CO",80134,86,39.5199,-104.772
189957,"10875 US Hwy 285","Conifer","CO",80433,106,39.52,-105.306
208056,"5810 McArthur Ranch Rd","Highlands Ranch","CO",80124,106,39.5206,-104.923
208060,"10585 Mountain Vista Ridge","Highlands Ranch","CO",80126,106,39.521,-104.965
