id,offer_id,task_type,amount,content,url,thumbnail_url
3770,1284,how_to,0.5,Customize your water with Crystal Light Liquid for refreshment with zero calories! Squeeze in a little less for a mellow flavor or if you're feeling bold add a bit more.,,
3771,1284,twitter,0.5,"Make your day brighter one glass at a time with @CrystalLight, and earn money using @IbottaApp!",http://product-images.ibotta.com/offer/Fs9JO4bjT5Kakh920d4WEw-normal.png,
3987,1284,video,0.5,,http://static-77.ibotta.com/brands/kraft/crystal%20light/SweeterRev_KRCY351515_251912_NOSLATE.mp4,http://product-images.ibotta.com/offer/Fs9JO4bjT5Kakh920d4WEw-normal.png
3776,1287,poll,0.5,Did this offer drive you to purchase Crystal Light?,,
3777,1287,social,0.5,"{ ""message"": """", ""description"": ""Need cool drinks for summer bbq's, sports, and hosting events? Buy Crystal Light and earn money with Ibotta. Discover your favorite flavor - facebook.com/crystallight"", ""picture"": ""http://product-images.ibotta.com/offer/D7lbegjPt6uQPT_TKnVkdA-normal.png"", ""link"": ""http://facebook.com/crystallight"", ""name"": ""Crystal Light"", ""caption"": ""facebook.com/crystallight"" }",http://product-images.ibotta.com/offer/D7lbegjPt6uQPT_TKnVkdA-normal.png,http://product-images.ibotta.com/offer/D7lbegjPt6uQPT_TKnVkdA-normal.png
3988,1287,testify,0.5,"What do you love 
about Crystal Light?",,
3992,1350,do_gooder,0.5,"Upload a photo on Facebook to join the Great American Lemonade Stand-tacular and Country Time will donate $5 to Alex's Lemonade Stand Foundation to fight childhood cancer. 
To learn more visit: http://bit.ly/CTLemonadeStand",https://s3.amazonaws.com/ibotta-static-assets/brands/kraft/country+time/ALSF-Horizontal-4C.png,
3993,1350,recipe,0.5,"Frozen Lemonade Pie Ingredients: 

• 1/4 cup  water
• 1/3 cup  COUNTRY TIME Lemonade Flavor Drink Mix
• 1 can  (14 oz.) sweetened condensed milk
• 1 tub  (8 oz.) COOL WHIP Whipped Topping, thawed
• 1  HONEY MAID Graham Pie Crust (6 oz.)

Step 1: Add water to drink mix in large bowl; stir until mix is dissolved.

Step 2: Stir  in milk. Add COOL WHIP; stir gently until blended.

Step 3: Spoon into crust. Freeze 6 hours or until firm.

Source: kraftrecipes.com",,
3996,1350,social,0.5,"{ ""message"": """", ""description"": ""It's officially lemonade stand season! Buy Country Time® Lemonade and earn using Ibotta. Share The Taste Of Summertime! fb.com/countrytime"", ""picture"": ""http://product-images.ibotta.com/offer/BvYuICcVeXxACkehtYl_uA-normal.png"", ""link"": ""http://facebook.com/countrytime"", ""name"": ""Country Time®"", ""caption"": ""facebook.com/countrytime"" }",http://product-images.ibotta.com/offer/BvYuICcVeXxACkehtYl_uA-normal.png,http://product-images.ibotta.com/offer/BvYuICcVeXxACkehtYl_uA-normal.png
4535,1517,video,0.25,,http://static-77.ibotta.com/brands/bhakti+chai/Expo+West+2013_+Bhakti+Chai+Video+-+YouTube.mp4,http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-normal.png
4587,1517,how_to,0.25,"Complete this How To:  Ask a Whole Foods Team Member to show you where to find Bhakti Chai in the store.

Hint: Bhakti Chai is located in the grab-and-go drink section or in the refrigerated beverage aisle.",,
4589,1517,social,0.5,"{ ""message"": """", ""description"": ""Lovin' the spicy ginger in my Bhakti Chai! You've got to try it! Like the Bhakti Chai Facebook page! Find us at: facebook.com/bhaktichaifans"", ""picture"": ""http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-normal.png"", ""link"": ""http://facebook.com/bhaktichaifans"", ""name"": ""Bhakti Chai"", ""caption"": ""facebook.com/bhaktichaifans"" }",http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-normal.png,http://product-images.ibotta.com/offer/eJ3W0yT9RY5de1j_Tn3L2Q-normal.png
4709,1579,poll,0.25,When was the last time you purchased a Good Food Made Simple product at Target?,,
4710,1579,social,0.25,"{ ""message"": """", ""description"": ""Want a healthy breakfast that you can eat on the go? Pick up Good Food Made Simple Breakfast Burritos at Target and earn with Ibotta! facebook.com/GoodFoodMadeSimple"", ""picture"": ""http://product-images.ibotta.com/offer/DaXjybA--LnzSFoq6_eRkg-normal.png"", ""link"": ""http://facebook.com/GoodFoodMadeSimple"", ""name"": ""Good Food Made Simple"", ""caption"": ""facebook.com/GoodFoodMadeSimple"" }",http://product-images.ibotta.com/offer/DaXjybA--LnzSFoq6_eRkg-normal.png,http://product-images.ibotta.com/offer/DaXjybA--LnzSFoq6_eRkg-normal.png
4713,1580,quiz,0.25,Good Food Made Simple Oatmeal:,,
4714,1580,how_to,0.25,"Who says you can only eat oatmeal for breakfast? 
Try adding spinach, broccoli, or bits of sausage to Good Food Made Simple's Steel Cut Oats for a nutrient-packed dinner option! ",,
4725,1587,social,0.25,"{ ""message"": """", ""description"": ""It’s all in how you look at things – and from what Fruttare® can see, #itsallgood                                                      Head to the Ice Cream aisle, then check out the Fruttare® Facebook page: facebook.com/FruttareUS"", ""picture"": ""http://product-images.ibotta.com/offer/4LJQ-ucFW0PTe_f8gMaLEg-normal.png"", ""link"": ""http://facebook.com/FruttareUS"", ""name"": ""Fruttare® Frozen Fruit Bars"", ""caption"": ""facebook.com/FruttareUS"" }",http://product-images.ibotta.com/offer/4LJQ-ucFW0PTe_f8gMaLEg-normal.png,http://product-images.ibotta.com/offer/4LJQ-ucFW0PTe_f8gMaLEg-normal.png
4726,1587,video,0.25,How did you first hear about Fruttare™ Fruit Bars?,http://static-77.ibotta.com/brands/fruttare/Fruttare+FINAL+TVC+15+sec+PS.mp4,http://product-images.ibotta.com/offer/4LJQ-ucFW0PTe_f8gMaLEg-normal.png
4727,1587,testify,0.25,How did you first hear about Fruttare™ Fruit Bars?,,
4958,1662,poll,0.25,What is your preferred social media platform?,,
